Data from Bam 2023 Isotope Hydrology Studies in Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Slope Analysis,,,,,,,,,,,Intercept Analysis,,,,,,,,,
Study,Location,slope,SE(Slope),intercept,SE(Intercept),n,R2,,w,T,w*T,w*T^2,w^2,w/w.,,wR,wR*T,wR/wR.,,w,T,w*T,w*T^2,w^2,w/w.,,wR,wR*T,wR/wR.
Effect size,,,,,,,,,,,,,,REM - OSLR,Slope,0.080216012,2.042362225,1.887984925,,,,,,,,,,,
Analysis,Quantity,SDpooled,Hedges's G,Corrected,,,,,,,,,,REM - OSLR,Intercept,0.447083333,2.779939732,2.569810703,,,,,,,,,,,
REM - OSLR,Slope,0.08,2.04,1.89,,,,,,,,,,REM - PWLSR,Slope,0.080262218,0.334775792,0.309470886,>0.3,0.26,,,,,,,,,
REM - OSLR,Intercept,0.45,2.78,2.57,,,,,,,,,,REM - PWLSR,Intercept,0.460723237,0.345684149,0.319554706,>0.3,0.24,,,,,,,,,
REM - PWLSR,Slope,0.08,0.33,0.31,,,,,,,,,,,,,,,,,,,,,,,,,
REM - PWLSR,Intercept,0.46,0.35,0.32,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interpreting Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A g of 1 indicates the two groups differ by 1 standard deviation, a g of 2 indicates they differ by 2 standard deviations, and so on. Standard deviations are equivalent to z-scores (1 standard deviation = 1 z-score).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method,Monitoring type,Period,# samples,Sites,Slope (a),SEs,,,Wald test,,,,,,,,,,,,,,,,,,,,
OSLR,Short-term,1986/ 2016,581,24,7.23,0.07,,,,,,,,,,,,,,,,,,,,,,,
OSLR,Continuous,2019/ 2021,605,8,7.12,0.07,,,,,,,,,,,,,,,,,,,,,,,
PWLSR,Continuous,201/2021,605,8,7.31,0.07,,,,,,,,,,,,,,,,,,,,,,,
This study (REM) ,Short-term,1986 /2016,581,24,7.28,0.09,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analytic method,Equation coefficients,,Wald test,,Equation coefficeints,,Wald test,,,,,,,,,,,,,,,,,,,,,,
,Slope (a),SEs,pval,z-val,Intercept (d),Sei,pval,z val,,,,,,,,,,,,,,,,,,,,,
This study (REM) ,7.28,0.09,-,-,7.4,0.58,-,-,,,,,,,,,,,,,,,,,,,,,
